Suburb,Towncenter,Postcode,Latitude,Longitude,Nearest,Median Price,venue count
Spence,Belconnen,2615,-35.1987316,149.0643556,3.7281224998929767,516.7700731110514,10.0
Stirling,Weston Creek,2611,-35.3495843,149.04935849999998,0.7024339753728419,3044.7333344232666,24.0
Strathnairn,Belconnen,2615,-35.2323902,148.985554,5.259923070730835,477.42886754517764,4.0
Taylor,Gungahlin,2913,-35.146803799999994,149.10719890000001,3.8674647096924164,724.5,3.0
Theodore,Tuggeranong,2905,-35.4496107,149.1197437,4.0489827859030285,642.5,7.0
Throsby,Gungahlin,2914,-35.1889539,149.1617493,3.6389728838495095,713.5,5.0
Torrens,Woden Valley,2607,-35.37195,149.08787969999997,2.519382366022891,883.5,13.0
Turner,North Canberra,2612,-35.2688704,149.12457709999998,0.8786741390835121,3044.7333344232666,100.0
Wanniassa,Tuggeranong,2903,-35.39766420000001,149.0908045,2.5950788822631545,699.0,17.0
Waramanga,Weston Creek,2611,-35.3528151,149.06221519999997,1.675379107232674,757.5,25.0
Watson,North Canberra,2602,-35.2348235,149.15944580000001,4.095278130581951,5567.5,15.0
Weetangera,Belconnen,2614,-35.2501136,149.04973700000002,2.591961293101171,6934.720981103138,71.0
Weston,Weston Creek,2611,-35.33248820000001,149.05873559999998,1.5671581289022882,838.0,22.0
Whitlam,Molonglo Valley,0,-35.2780956,149.03639760000002,2.942999974831208,3044.7333344232666,0.0
Wright,Molonglo Valley,2611,-35.319264399999994,149.03361669999998,1.6528231763238508,783.0,4.0
Yarralumla,South Canberra,2600,-35.3040411,149.0986347,3.256986509702126,15775.0,21.0
